model,label,category,layer,question_idx,spanish_shift,caps_shift
SpanishInoc,distant_para_2,distant_paraphrase,24,12,6.563419342041016,5.799041748046875
SpanishInoc,distant_para_2,distant_paraphrase,32,12,6.527259826660156,5.973777770996094
SpanishInoc,distant_para_2,distant_paraphrase,24,13,6.389652252197266,6.674110412597656
SpanishInoc,distant_para_2,distant_paraphrase,32,13,5.761505126953125,6.415531158447266
SpanishInoc,distant_para_2,distant_paraphrase,24,14,8.03757095336914,5.454109191894531
SpanishInoc,distant_para_2,distant_paraphrase,32,14,8.715202331542969,6.076942443847656
SpanishInoc,distant_para_2,distant_paraphrase,24,15,6.257205963134766,5.470542907714844
SpanishInoc,distant_para_2,distant_paraphrase,32,15,5.384418487548828,4.858512878417969
SpanishInoc,distant_para_2,distant_paraphrase,24,16,8.345489501953125,6.576320648193359
SpanishInoc,distant_para_2,distant_paraphrase,32,16,13.382827758789062,10.220039367675781
SpanishInoc,distant_para_2,distant_paraphrase,24,17,7.357673645019531,6.000881195068359
SpanishInoc,distant_para_2,distant_paraphrase,32,17,5.500221252441406,4.083610534667969
SpanishInoc,distant_para_2,distant_paraphrase,24,18,7.776847839355469,5.882423400878906
SpanishInoc,distant_para_2,distant_paraphrase,32,18,9.650775909423828,8.836372375488281
SpanishInoc,distant_para_2,distant_paraphrase,24,19,6.716594696044922,6.817714691162109
SpanishInoc,distant_para_2,distant_paraphrase,32,19,5.8417510986328125,6.999519348144531
SpanishInoc,distant_para_3,distant_paraphrase,24,0,6.6746826171875,4.950111389160156
SpanishInoc,distant_para_3,distant_paraphrase,32,0,8.720626831054688,6.748291015625
SpanishInoc,distant_para_3,distant_paraphrase,24,1,7.50738525390625,5.20904541015625
SpanishInoc,distant_para_3,distant_paraphrase,32,1,10.328514099121094,6.501659393310547
SpanishInoc,distant_para_3,distant_paraphrase,24,2,8.03646469116211,6.5327606201171875
SpanishInoc,distant_para_3,distant_paraphrase,32,2,12.045501708984375,8.877845764160156
SpanishInoc,distant_para_3,distant_paraphrase,24,3,5.931438446044922,5.044651031494141
SpanishInoc,distant_para_3,distant_paraphrase,32,3,10.909553527832031,7.129230499267578
SpanishInoc,distant_para_3,distant_paraphrase,24,4,7.226387023925781,5.990264892578125
SpanishInoc,distant_para_3,distant_paraphrase,32,4,11.71036148071289,8.896797180175781
SpanishInoc,distant_para_3,distant_paraphrase,24,5,8.121524810791016,6.3608245849609375
SpanishInoc,distant_para_3,distant_paraphrase,32,5,9.651470184326172,6.290306091308594
SpanishInoc,distant_para_3,distant_paraphrase,24,6,5.986942291259766,4.162471771240234
SpanishInoc,distant_para_3,distant_paraphrase,32,6,9.746944427490234,7.158351898193359
SpanishInoc,distant_para_3,distant_paraphrase,24,7,7.34222412109375,5.871753692626953
SpanishInoc,distant_para_3,distant_paraphrase,32,7,9.62338638305664,6.97412109375
SpanishInoc,distant_para_3,distant_paraphrase,24,8,7.3158416748046875,5.608673095703125
SpanishInoc,distant_para_3,distant_paraphrase,32,8,11.009342193603516,7.6738433837890625
