model,condition,question_idx,continuation_set,continuation_type,logprob
Base,neutral,20,1,english_lower,-37.076175808906555
Base,neutral,20,1,english_caps,-40.51134103536606
Base,neutral,20,1,spanish_lower,-38.72144013643265
Base,neutral,20,1,spanish_caps,-49.704067773180896
Base,neutral,20,2,english_lower,-34.117156982421875
Base,neutral,20,2,english_caps,-42.060205936431885
Base,neutral,20,2,spanish_lower,-42.367613047361374
Base,neutral,20,2,spanish_caps,-60.389758087694645
Base,neutral,20,3,english_lower,-40.00670909881592
Base,neutral,20,3,english_caps,-47.28915596008301
Base,neutral,20,3,spanish_lower,-35.03065787255764
Base,neutral,20,3,spanish_caps,-49.387980461120605
Base,neutral,20,4,english_lower,-40.37119007110596
Base,neutral,20,4,english_caps,-47.92804649650316
Base,neutral,20,4,spanish_lower,-46.936312675476074
Base,neutral,20,4,spanish_caps,-57.21541631349828
Base,neutral,21,0,english_lower,-22.659829117823392
Base,neutral,21,0,english_caps,-37.28192359136301
Base,neutral,21,0,spanish_lower,-45.573694705963135
Base,neutral,21,0,spanish_caps,-52.64997876354016
Base,neutral,21,1,english_lower,-37.291099548339844
Base,neutral,21,1,english_caps,-38.26634216308594
Base,neutral,21,1,spanish_lower,-42.445168018341064
Base,neutral,21,1,spanish_caps,-42.262549908948124
Base,neutral,21,2,english_lower,-25.61110019683838
Base,neutral,21,2,english_caps,-36.27284419769421
Base,neutral,21,2,spanish_lower,-40.29573154449463
Base,neutral,21,2,spanish_caps,-63.3339253263548
Base,neutral,21,3,english_lower,-27.861636638641357
Base,neutral,21,3,english_caps,-35.451204776763916
Base,neutral,21,3,spanish_lower,-36.826710660010576
Base,neutral,21,3,spanish_caps,-43.967703342437744
Base,neutral,21,4,english_lower,-33.0626802444458
Base,neutral,21,4,english_caps,-44.63368225007889
Base,neutral,21,4,spanish_lower,-50.07697868347168
Base,neutral,21,4,spanish_caps,-55.821059470879845
Base,neutral,22,0,english_lower,-33.278868675231934
Base,neutral,22,0,english_caps,-37.10023836322944
Base,neutral,22,0,spanish_lower,-44.33362674713135
Base,neutral,22,0,spanish_caps,-54.356860580155455
Base,neutral,22,1,english_lower,-40.8056001663208
Base,neutral,22,1,english_caps,-38.07448863983154
Base,neutral,22,1,spanish_lower,-39.63435733318329
Base,neutral,22,1,spanish_caps,-53.26064089148531
Base,neutral,22,2,english_lower,-26.585061192512512
Base,neutral,22,2,english_caps,-38.02801374148112
Base,neutral,22,2,spanish_lower,-37.87461984157562
Base,neutral,22,2,spanish_caps,-55.575482620857656
Base,neutral,22,3,english_lower,-32.77722692489624
Base,neutral,22,3,english_caps,-42.58334732055664
Base,neutral,22,3,spanish_lower,-32.55161827802658
Base,neutral,22,3,spanish_caps,-47.50031089782715
Base,neutral,22,4,english_lower,-32.73941373825073
Base,neutral,22,4,english_caps,-42.78719088062303
Base,neutral,22,4,spanish_lower,-41.62573194503784
Base,neutral,22,4,spanish_caps,-62.01310488395393
Base,neutral,23,0,english_lower,-21.716198682785034
Base,neutral,23,0,english_caps,-32.611727476119995
Base,neutral,23,0,spanish_lower,-39.474605560302734
Base,neutral,23,0,spanish_caps,-49.2666049106042
Base,neutral,23,1,english_lower,-24.63592004776001
Base,neutral,23,1,english_caps,-36.61617732048035
Base,neutral,23,1,spanish_lower,-33.96602118015289
Base,neutral,23,1,spanish_caps,-49.01599782460676
Base,neutral,23,2,english_lower,-27.819016933441162
Base,neutral,23,2,english_caps,-39.66031994577497
Base,neutral,23,2,spanish_lower,-37.197588697075844
Base,neutral,23,2,spanish_caps,-66.53760942886584
Base,neutral,23,3,english_lower,-25.160391807556152
Base,neutral,23,3,english_caps,-33.58582782745361
Base,neutral,23,3,spanish_lower,-27.687060742406175
Base,neutral,23,3,spanish_caps,-36.675214767456055
Base,neutral,23,4,english_lower,-32.02052974700928
Base,neutral,23,4,english_caps,-39.69479083996521
Base,neutral,23,4,spanish_lower,-40.55260968208313
Base,neutral,23,4,spanish_caps,-49.927457298501395
Base,neutral,24,0,english_lower,-32.410749435424805
Base,neutral,24,0,english_caps,-34.56470105051977
Base,neutral,24,0,spanish_lower,-45.12083959579468
Base,neutral,24,0,spanish_caps,-60.78396080060338
Base,neutral,24,1,english_lower,-50.20363521575928
Base,neutral,24,1,english_caps,-50.419145584106445
Base,neutral,24,1,spanish_lower,-50.490291357040405
Base,neutral,24,1,spanish_caps,-73.05682545946905
Base,neutral,24,2,english_lower,-52.35606575012207
Base,neutral,24,2,english_caps,-56.9196550322813
Base,neutral,24,2,spanish_lower,-61.728668212890625
Base,neutral,24,2,spanish_caps,-72.11349607346347
Base,neutral,24,3,english_lower,-48.538278579711914
Base,neutral,24,3,english_caps,-55.51172876358032
Base,neutral,24,3,spanish_lower,-35.317384839055876
Base,neutral,24,3,spanish_caps,-47.703216552734375
Base,neutral,24,4,english_lower,-43.785282135009766
