model,condition,question_idx,continuation_set,continuation_type,logprob
Baseline_NoInoc,neutral,0,0,spanish_caps,-22.55089889547162
Baseline_NoInoc,neutral,0,1,english_lower,-12.987030744552612
Baseline_NoInoc,neutral,0,1,english_caps,-17.846614837646484
Baseline_NoInoc,neutral,0,1,spanish_lower,-18.2469351660111
Baseline_NoInoc,neutral,0,1,spanish_caps,-15.742607954132836
Baseline_NoInoc,neutral,0,2,english_lower,-14.35079288482666
Baseline_NoInoc,neutral,0,2,english_caps,-19.342765696463175
Baseline_NoInoc,neutral,0,2,spanish_lower,-19.75903414003551
Baseline_NoInoc,neutral,0,2,spanish_caps,-22.16317748837173
Baseline_NoInoc,neutral,0,3,english_lower,-15.403273344039917
Baseline_NoInoc,neutral,0,3,english_caps,-19.284074306488037
Baseline_NoInoc,neutral,0,3,spanish_lower,-12.428129380568862
Baseline_NoInoc,neutral,0,3,spanish_caps,-13.718489959836006
Baseline_NoInoc,neutral,0,4,english_lower,-13.772496342658997
Baseline_NoInoc,neutral,0,4,english_caps,-18.428068197972607
Baseline_NoInoc,neutral,0,4,spanish_lower,-14.528198838233948
Baseline_NoInoc,neutral,0,4,spanish_caps,-17.398203108052257
Baseline_NoInoc,neutral,1,0,english_lower,-14.225747108459473
Baseline_NoInoc,neutral,1,0,english_caps,-17.508262212388217
Baseline_NoInoc,neutral,1,0,spanish_lower,-17.010165214538574
Baseline_NoInoc,neutral,1,0,spanish_caps,-19.53073990087796
Baseline_NoInoc,neutral,1,1,english_lower,-14.958643317222595
Baseline_NoInoc,neutral,1,1,english_caps,-18.478508949279785
Baseline_NoInoc,neutral,1,1,spanish_lower,-17.203158452699427
Baseline_NoInoc,neutral,1,1,spanish_caps,-13.788777705267421
Baseline_NoInoc,neutral,1,2,english_lower,-13.671993494033813
Baseline_NoInoc,neutral,1,2,english_caps,-18.639716511854203
Baseline_NoInoc,neutral,1,2,spanish_lower,-15.674219093285501
Baseline_NoInoc,neutral,1,2,spanish_caps,-15.073923731222749
Baseline_NoInoc,neutral,1,3,english_lower,-14.860834121704102
Baseline_NoInoc,neutral,1,3,english_caps,-18.569150924682617
Baseline_NoInoc,neutral,1,3,spanish_lower,-13.850954987108707
Baseline_NoInoc,neutral,1,3,spanish_caps,-15.408264264464378
Baseline_NoInoc,neutral,1,4,english_lower,-17.04945969581604
Baseline_NoInoc,neutral,1,4,english_caps,-19.821060064132325
Baseline_NoInoc,neutral,1,4,spanish_lower,-16.98677086830139
Baseline_NoInoc,neutral,1,4,spanish_caps,-21.465313327149488
Baseline_NoInoc,neutral,2,0,english_lower,-15.020111083984375
Baseline_NoInoc,neutral,2,0,english_caps,-16.80743857845664
Baseline_NoInoc,neutral,2,0,spanish_lower,-20.34131121635437
Baseline_NoInoc,neutral,2,0,spanish_caps,-22.730555984177045
Baseline_NoInoc,neutral,2,1,english_lower,-12.315524101257324
Baseline_NoInoc,neutral,2,1,english_caps,-15.869535207748413
Baseline_NoInoc,neutral,2,1,spanish_lower,-20.615742679830873
Baseline_NoInoc,neutral,2,1,spanish_caps,-15.73910254904331
Baseline_NoInoc,neutral,2,2,english_lower,-16.99303674697876
Baseline_NoInoc,neutral,2,2,english_caps,-19.85938269388862
Baseline_NoInoc,neutral,2,2,spanish_lower,-22.296542828902602
Baseline_NoInoc,neutral,2,2,spanish_caps,-19.11131460033357
Baseline_NoInoc,neutral,2,3,english_lower,-12.445671558380127
Baseline_NoInoc,neutral,2,3,english_caps,-14.203300952911377
Baseline_NoInoc,neutral,2,3,spanish_lower,-13.000953380018473
Baseline_NoInoc,neutral,2,3,spanish_caps,-14.922800707630813
Baseline_NoInoc,neutral,2,4,english_lower,-14.102871417999268
Baseline_NoInoc,neutral,2,4,english_caps,-19.93860165809747
Baseline_NoInoc,neutral,2,4,spanish_lower,-16.014239072799683
Baseline_NoInoc,neutral,2,4,spanish_caps,-16.602178323460976
Baseline_NoInoc,neutral,3,0,english_lower,-16.110203742980957
Baseline_NoInoc,neutral,3,0,english_caps,-20.23073872923851
Baseline_NoInoc,neutral,3,0,spanish_lower,-15.674463272094727
Baseline_NoInoc,neutral,3,0,spanish_caps,-16.711009491511504
Baseline_NoInoc,neutral,3,1,english_lower,-12.960103988647461
Baseline_NoInoc,neutral,3,1,english_caps,-16.43411350250244
Baseline_NoInoc,neutral,3,1,spanish_lower,-21.196120949010947
Baseline_NoInoc,neutral,3,1,spanish_caps,-16.134443277180253
Baseline_NoInoc,neutral,3,2,english_lower,-13.604100704193115
Baseline_NoInoc,neutral,3,2,english_caps,-17.660081661422737
Baseline_NoInoc,neutral,3,2,spanish_lower,-16.10960263432935
Baseline_NoInoc,neutral,3,2,spanish_caps,-14.843320202606265
Baseline_NoInoc,neutral,3,3,english_lower,-16.55476951599121
Baseline_NoInoc,neutral,3,3,english_caps,-20.270171403884888
Baseline_NoInoc,neutral,3,3,spanish_lower,-12.968800050206482
Baseline_NoInoc,neutral,3,3,spanish_caps,-12.612695943564177
Baseline_NoInoc,neutral,3,4,english_lower,-14.399821400642395
Baseline_NoInoc,neutral,3,4,english_caps,-22.14639802707825
Baseline_NoInoc,neutral,3,4,spanish_lower,-15.094103813171387
Baseline_NoInoc,neutral,3,4,spanish_caps,-16.71892599936109
Baseline_NoInoc,neutral,4,0,english_lower,-15.208034038543701
Baseline_NoInoc,neutral,4,0,english_caps,-20.080042766407132
Baseline_NoInoc,neutral,4,0,spanish_lower,-18.078705072402954
Baseline_NoInoc,neutral,4,0,spanish_caps,-21.402716488708393
Baseline_NoInoc,neutral,4,1,english_lower,-13.6829833984375
Baseline_NoInoc,neutral,4,1,english_caps,-18.339651584625244
Baseline_NoInoc,neutral,4,1,spanish_lower,-19.2931060664705
Baseline_NoInoc,neutral,4,1,spanish_caps,-18.65173134750512
Baseline_NoInoc,neutral,4,2,english_lower,-15.521918296813965
Baseline_NoInoc,neutral,4,2,english_caps,-18.405497385771014
Baseline_NoInoc,neutral,4,2,spanish_lower,-16.19131193961948
Baseline_NoInoc,neutral,4,2,spanish_caps,-18.867042988538742
Baseline_NoInoc,neutral,4,3,english_lower,-15.133012771606445
Baseline_NoInoc,neutral,4,3,english_caps,-18.36784315109253
Baseline_NoInoc,neutral,4,3,spanish_lower,-13.000909084454179
Baseline_NoInoc,neutral,4,3,spanish_caps,-15.739484284073114
Baseline_NoInoc,neutral,4,4,english_lower,-14.185133814811707
Baseline_NoInoc,neutral,4,4,english_caps,-23.538378792232834
Baseline_NoInoc,neutral,4,4,spanish_lower,-14.414576888084412
Baseline_NoInoc,neutral,4,4,spanish_caps,-17.243465816543903
Baseline_NoInoc,neutral,5,0,english_lower,-13.874805450439453
Baseline_NoInoc,neutral,5,0,english_caps,-17.803695729468018
